Title,Image,Unit,Label,Info,propertysmallicon,propertysmallicon1,propertysmallicon2,Type,propertysmallicon3,propertysmallicon4,Description,Tag,dflex,currency,Price
Best Strategic and Modern 2BR at Kalibata City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 33 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,33 sqm,5.0,"
                                        Kalibata, Apartemen Kalibata City
                                    ",4 Orang,"IDR
4,390,000
 / bulan",IDR, / bulan
Warm 2BR Unfurnished at Samesta East Point Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,NEW,"
                                    
                                    
                                        
                                        2 1 44 m2 
                                    
                                ",2,1,44 m2,,,,"
                                        Cakung, Apartemen Samesta East Point
                                    ",,"IDR
2,000,000
 / bulan",IDR, / bulan
Comfort 2BR with Work Space Apartment at Gading Resort Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,BIG SALE,"
                                    
                                    
                                        
                                        apartment 2 2 103 sqm | New |Full Furnished
                                    
                                ",Apartment,2,2,Full Furnished,103 sqm,New,"
                                        Kelapa Gading, Apartemen Gading Resort Residence
                                    ",4 Orang,"IDR
10,140,000
 / bulan",IDR, / bulan
Comfort and Simply 2BR Apartment at Bellagio Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 2 77 sqm | New |Full Furnished
                                    
                                ",Apartment,2,2,Full Furnished,77 sqm,New,"
                                        Mega Kuningan, Apartemen Bellagio Residence
                                    ",3 Orang,"IDR
14,600,000
 / bulan",IDR, / bulan
Simply and Modern 2BR The Mansion Kemayoran Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,BIG SALE,"
                                    
                                    
                                        
                                        apartment 2 1 76 sqm | 4.7 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,76 sqm,4.7,"
                                        Kemayoran, Apartemen The Mansion Jasmine Kemayoran
                                    ",3 Orang,"IDR
7,840,000
 / bulan",IDR, / bulan
Simple Designed Studio Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,240,000
 / bulan",IDR, / bulan
Studio Unfurnished at 18th Floor Samesta East Point Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        Studio 1 28 m2 
                                    
                                ",Studio,1,28 m2,,,,"
                                        Cakung, Apartemen Samesta East Point
                                    ",,"IDR
1,750,000
 / bulan",IDR, / bulan
Cozy Stay 2BR Paradise Mansion Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 44 sqm | New |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,44 sqm,New,"
                                        Kalideres, Apartemen Paradise Mansion
                                    ",3 Orang,"IDR
5,240,000
 / bulan",IDR, / bulan
Comfy and Spacious 2BR at Seasons City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 55 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,55 sqm,5.0,"
                                        Tambora, Apartemen Seasons City Latumenten
                                    ",4 Orang,"IDR
6,800,000
 / bulan",IDR, / bulan
Comfortable Studio Room at Kebagusan City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 22 sqm | 4.8 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,22 sqm,4.8,"
                                        Kebagusan, Apartemen Kebagusan City
                                    ",2 Orang,"IDR
3,650,000
 / bulan",IDR, / bulan
Unfurnished Studio Apartment With AC at 8th Floor Nine Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        Studio 1 38 m2 
                                    
                                ",Studio,1,38 m2,,,,"
                                        Mampang Prapatan, Apartemen Nine Residence
                                    ",,"IDR
5,690,000
 / bulan",IDR, / bulan
Well Furnished and Homey 2BR Bassura City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 34 sqm | New |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,34 sqm,New,"
                                        Cipinang, Apartemen Bassura City
                                    ",3 Orang,"IDR
4,790,000
 / bulan",IDR, / bulan
Simply 2BR Unfurnished at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        2 1 36 m2 
                                    
                                ",2,1,36 m2,,,,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",,"IDR
2,500,000
 / bulan",IDR, / bulan
Comfort 1BR Unfurnished at Sentraland Cengkareng Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,Limited Time,"
                                    
                                    
                                        
                                        1 1 33 m2 
                                    
                                ",1,1,33 m2,,,,"
                                        Cengkareng, Apartemen Sentraland Cengkareng
                                    ",,"IDR
2,318,000
 / bulan",IDR, / bulan
Spacious and Comfort 3BR Apartment at Simprug Park Residences By Travelio,,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 3 3 185 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,3,3,Full Furnished,185 sqm,4.9,"
                                        Kebayoran Lama, Apartemen Simprug Park Residence
                                    ",4 Orang,"IDR
37,110,000
 / bulan",IDR, / bulan
Warm and Enjoy Living 2BR at Pancoran Riverside Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 33 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,33 sqm,5.0,"
                                        Pancoran, Apartemen Pancoran Riverside
                                    ",3 Orang,"IDR
4,390,000
 / bulan",IDR, / bulan
Good Choice and Homey Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,4.9,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,240,000
 / bulan",IDR, / bulan
Unfurnished Studio (No Kitchen) with AC at Bassura City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-realty-icon.png,1 unit tersedia,New,"
                                    
                                    
                                        
                                        Studio 1 19 m2 
                                    
                                ",Studio,1,19 m2,,,,"
                                        Cipinang, Apartemen Bassura City
                                    ",,"IDR
2,840,000
 / bulan",IDR, / bulan
Fully Furnished with Comfortable Design Studio Puri Orchard Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 26 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,26 sqm,4.9,"
                                        Cengkareng, Apartemen Puri Orchard
                                    ",2 Orang,"IDR
3,990,000
 / bulan",IDR, / bulan
Minimalist and Nice Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,054,200
 / bulan",IDR, / bulan
Comfy Studio Apartment at Puri Park View By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,NEW UNIT,"
                                    
                                    
                                        
                                        apartment Studio 1 25 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,25 sqm,New,"
                                        Kembangan, Apartemen Puri Park View
                                    ",2 Orang,"IDR
3,090,000
 / bulan",IDR, / bulan
Comfort Stay and Minimalist 1BR Ciputra World 2 Apartment By Travelio,,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 1 1 52 sqm | 4.5 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,52 sqm,4.5,"
                                        Karet Kuningan, Apartemen Ciputra World 2
                                    ",2 Orang,"IDR
14,490,000
 / bulan",IDR, / bulan
Wonderful and Comfort 2BR at Grand Madison Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment 2 1 48 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,48 sqm,5.0,"
                                        Tanjung Duren, Apartemen Grand Madison
                                    ",3 Orang,"IDR
7,700,000
 / bulan",IDR, / bulan
Homey and Elegant 2BR at Pakubuwono Terrace Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 2 1 38 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,38 sqm,5.0,"
                                        Pakubuwono, Apartemen Pakubuwono Terrace
                                    ",3 Orang,"IDR
5,700,000
 / bulan",IDR, / bulan
Best Modern 2BR at City Home Gading Riverview (MOI) Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Favourite,"
                                    
                                    
                                        
                                        apartment 2 1 45 sqm | New |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,45 sqm,New,"
                                        Kelapa Gading, Apartemen City Home Gading Riverview (MOI)
                                    ",4 Orang,"IDR
6,990,000
 / bulan",IDR, / bulan
Best Homey 2BR at Puri Park View Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 35 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,35 sqm,5.0,"
                                        Kembangan, Apartemen Puri Park View
                                    ",3 Orang,"IDR
4,440,000
 / bulan",IDR, / bulan
Cozy Studio Apartment at Nine Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Favourite,"
                                    
                                    
                                        
                                        apartment Studio 1 38 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,38 sqm,5.0,"
                                        Mampang Prapatan, Apartemen Nine Residence
                                    ",2 Orang,"IDR
7,955,000
 / bulan",IDR, / bulan
Modern Look Studio (No Kitchen) Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,240,000
 / bulan",IDR, / bulan
Simply Look Studio at Green Sedayu Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,BIG SALE,"
                                    
                                    
                                        
                                        apartment Studio 1 38 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,38 sqm,5.0,"
                                        Cengkareng, Apartemen Green Sedayu
                                    ",2 Orang,"IDR
4,040,000
 / bulan",IDR, / bulan
Comfort Studio Pluit Sea View Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment Studio 1 24 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,24 sqm,4.9,"
                                        Pluit, Apartemen Pluit Sea View
                                    ",2 Orang,"IDR
2,700,000
 / bulan",IDR, / bulan
Spacious and Modern 2BR Loft with Wardrobe Room Kuningan Place Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment 2 3 268 sqm | New |Full Furnished
                                    
                                ",Apartment,2,3,Full Furnished,268 sqm,New,"
                                        Setiabudi, Apartemen Kuningan Place
                                    ",4 Orang,"IDR
19,990,000
 / bulan",IDR, / bulan
Fancy and Spacious 3BR with Private Lift Menara Jakarta Kemayoran Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,NEW UNIT,"
                                    
                                    
                                        
                                        apartment 3 3 141 sqm | New |Full Furnished
                                    
                                ",Apartment,3,3,Full Furnished,141 sqm,New,"
                                        Kemayoran, Apartemen Menara Jakarta Kemayoran
                                    ",6 Orang,"IDR
13,940,000
 / bulan",IDR, / bulan
Minimalist and Simply Look Studio Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,471,890
 / bulan",IDR, / bulan
Great Deal and Scenic Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,240,000
 / bulan",IDR, / bulan
Warm and Serene 2BR Apartment at Mediterania Garden Residence 2 By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 47 sqm | New |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,47 sqm,New,"
                                        Tanjung Duren, Apartemen Mediterania Garden Residence 2
                                    ",3 Orang,"IDR
6,390,000
 / bulan",IDR, / bulan
Homey and Simply Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,4.9,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,140,000
 / bulan",IDR, / bulan
Homey and Nice Studio at Signature Park Grande Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment Studio 1 23 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,23 sqm,5.0,"
                                        MT Haryono, Apartemen Signature Park Grande
                                    ",2 Orang,"IDR
4,850,000
 / bulan",IDR, / bulan
Comfort and Elegant Studio Loft  Apartment at Southgate Residence By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Flash Sale,"
                                    
                                    
                                        
                                        apartment Studio 1 35 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,35 sqm,New,"
                                        Tanjung Barat, Apartemen Southgate Residence
                                    ",2 Orang,"IDR
11,700,000
 / bulan",IDR, / bulan
Budget 2BR Apartment Gading Nias Residence Emerald Access to Pool By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 35 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,35 sqm,5.0,"
                                        Kelapa Gading, Apartemen Gading Nias Residence
                                    ",3 Orang,"IDR
3,200,000
 / bulan",IDR, / bulan
Good Choice and Restful Studio at Tifolia Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,BIG SALE,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,New,"
                                        Pulo Gadung, Apartemen Tifolia
                                    ",2 Orang,"IDR
2,640,000
 / bulan",IDR, / bulan
Brand New 2BR L'Avenue Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Disc+Cashbac,"
                                    
                                    
                                        
                                        apartment 2 1 78 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,78 sqm,5.0,"
                                        Pancoran, Apartemen L'Avenue Pancoran
                                    ",4 Orang,"IDR
13,450,500
 / bulan",IDR, / bulan
Vibrant 1BR Apartment at Belmont Residence Puri By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 1 1 32 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,32 sqm,4.9,"
                                        Kembangan, Apartemen Belmont Residence Puri
                                    ",2 Orang,"IDR
4,890,000
 / bulan",IDR, / bulan
Modern and Nice Studio at Titanium Square Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 29 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,29 sqm,4.9,"
                                        Pasar Rebo, Apartemen Titanium Square
                                    ",2 Orang,"IDR
3,690,000
 / bulan",IDR, / bulan
Luxurious 1BR at The Mansion Kemayoran Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,BIG SALE,"
                                    
                                    
                                        
                                        apartment 1 1 29 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,29 sqm,5.0,"
                                        Kemayoran, Apartemen The Mansion Bougenville Kemayoran
                                    ",2 Orang,"IDR
4,790,000
 / bulan",IDR, / bulan
Compact and Cozy 2BR Kalibata City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 34 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,34 sqm,5.0,"
                                        Kalibata, Apartemen Kalibata City
                                    ",3 Orang,"IDR
4,340,000
 / bulan",IDR, / bulan
Cozy Living Studio Apartment at Green Pramuka City near Shopping Center By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        Cempaka Putih, Apartemen Green Pramuka City
                                    ",2 Orang,"IDR
4,090,000
 / bulan",IDR, / bulan
Modern and New Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Favourite,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,325,000
 / bulan",IDR, / bulan
Affordable Price 2BR Green Pramuka City Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 33 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,33 sqm,5.0,"
                                        Cempaka Putih, Apartemen Green Pramuka City
                                    ",3 Orang,"IDR
5,210,890
 / bulan",IDR, / bulan
Comfort Living Studio at Tokyo Riverside PIK 2 Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        PIK 2, Apartemen Tokyo Riverside PIK 2
                                    ",2 Orang,"IDR
3,340,000
 / bulan",IDR, / bulan
Modern and Comfort 2BR at The Mansion Kemayoran Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 74 sqm | New |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,74 sqm,New,"
                                        Kemayoran, Apartemen The Mansion Jasmine Kemayoran
                                    ",3 Orang,"IDR
9,000,000
 / bulan",IDR, / bulan
Cozy Living 1BR Casablanca Mansion Apartment near Mall By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,GOOD DEAL,"
                                    
                                    
                                        
                                        apartment 1 1 42 sqm | New |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,42 sqm,New,"
                                        Casablanca, Apartemen Casablanca Mansion
                                    ",2 Orang,"IDR
6,500,000
 / bulan",IDR, / bulan
Cozy Stay and Spacious Studio with Pool View at West Vista Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 30 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,30 sqm,5.0,"
                                        Cengkareng, Apartemen West Vista
                                    ",2 Orang,"IDR
4,590,000
 / bulan",IDR, / bulan
Suite 3BR Kemang Village Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 3 2 132 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,3,2,Full Furnished,132 sqm,5.0,"
                                        Kemang, Apartemen Kemang Village
                                    ",5 Orang,"IDR
28,839,000
 / bulan",IDR, / bulan
Spacious 1BR Lexington Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Up To 1JT,"
                                    
                                    
                                        
                                        apartment 1 1 56 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,56 sqm,5.0,"
                                        Pesanggrahan, Apartemen Lexington
                                    ",2 Orang,"IDR
8,131,225
 / bulan",IDR, / bulan
Stunning 2BR with Maid Room Park Royale Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 85 sqm | New |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,85 sqm,New,"
                                        Bendungan Hilir, Apartemen Park Royale
                                    ",3 Orang,"IDR
12,590,000
 / bulan",IDR, / bulan
Nice and Comfortable 2BR at Samara Suites Apartment By Travelio,,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment 2 1 64 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,64 sqm,5.0,"
                                        Gatot Subroto Jakarta, Apartemen Samara Suites
                                    ",3 Orang,"IDR
14,000,000
 / bulan",IDR, / bulan
Comfy and Furnished 2BR Bassura City Apartment near Mall By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,Disc+Cashbac,"
                                    
                                    
                                        
                                        apartment 2 1 34 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,2,1,Full Furnished,34 sqm,5.0,"
                                        Cipinang, Apartemen Bassura City
                                    ",3 Orang,"IDR
3,790,000
 / bulan",IDR, / bulan
Studio Modern Tamansari The Hive Apartment by Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 25 sqm | 4.9 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,25 sqm,4.9,"
                                        Cawang, Apartemen Tamansari The Hive
                                    ",2 Orang,"IDR
5,550,000
 / bulan",IDR, / bulan
Studio near Bella Terra Mall at Tifolia Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        Pulo Gadung, Apartemen Tifolia
                                    ",2 Orang,"IDR
3,890,000
 / bulan",IDR, / bulan
Best Location and Homey 1BR Fatmawati City Center Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,BIG SALE,"
                                    
                                    
                                        
                                        apartment 1 1 34 sqm | New |Full Furnished
                                    
                                ",Apartment,1,1,Full Furnished,34 sqm,New,"
                                        Fatmawati, Apartemen Fatmawati City Center
                                    ",2 Orang,"IDR
8,190,000
 / bulan",IDR, / bulan
Strategic Studio at 30th Floor Tamansari Semanggi  Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 37 sqm | New |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,37 sqm,New,"
                                        Semanggi, Apartemen Tamansari Semanggi
                                    ",2 Orang,"IDR
7,415,000
 / bulan",IDR, / bulan
Minimalist Studio (No Kitchen) at Green Bay Pluit Apartment By Travelio,https://asset.travelio.com/asset/desktop/images/new-design/hotelbox/new-tpm-icon.png,1 unit tersedia,,"
                                    
                                    
                                        
                                        apartment Studio 1 21 sqm | 5.0 |Full Furnished
                                    
                                ",Apartment,Studio,1,Full Furnished,21 sqm,5.0,"
                                        Pluit, Apartemen Green Bay Pluit
                                    ",2 Orang,"IDR
4,700,000
 / bulan",IDR, / bulan
